Country or territory,Population (1 July 2022),Population (1 July 2023),Change (%),UN continental region[1],UN statistical subregion[1]
Uzbekistan,34938955.0,35652307.0,+2.04%,Asia,Central Asia
Malaysia,34695493.0,35126298.0,+1.24%,Asia,South-eastern Asia
Peru,33475438.0,33845617.0,+1.11%,Americas,South America
Ghana,33149152.0,33787914.0,+1.93%,Africa,Western Africa
Mozambique,32656246.0,33635160.0,+3.00%,Africa,Eastern Africa
Saudi Arabia,32175352.0,32264292.0,+0.28%,Asia,Western Asia
Madagascar,30437261.0,31195932.0,+2.49%,Africa,Eastern Africa
Ivory Coast,30395002.0,31165654.0,+2.54%,Africa,Western Africa
Nepal,29715436.0,29964614.0,+0.84%,Asia,Southern Asia
Cameroon,27632771.0,28372687.0,+2.68%,Africa,Middle Africa
Venezuela,28213017.0,28300854.0,+0.31%,Americas,South America
Australia[f],26200984.0,26451124.0,+0.95%,Oceania,Australia and New Zealand
North Korea,26329845.0,26418204.0,+0.34%,Asia,Eastern Asia
Niger,25311973.0,26159867.0,+3.35%,Africa,Western Africa
Mali,23072640.0,23769127.0,+3.02%,Africa,Western Africa
Syria,22462173.0,23594623.0,+5.04%,Asia,Western Asia
Taiwan[g],23420111.0,23317145.0,−0.44%,Asia,Eastern Asia
Burkina Faso,22509038.0,23025776.0,+2.30%,Africa,Western Africa
Sri Lanka,22834965.0,22971617.0,+0.60%,Asia,Southern Asia
Malawi,20568728.0,21104482.0,+2.60%,Africa,Eastern Africa
Zambia,20152938.0,20723965.0,+2.83%,Africa,Eastern Africa
Kazakhstan,20034609.0,20330104.0,+1.47%,Asia,Central Asia
Chile,19553036.0,19658835.0,+0.54%,Americas,South America
Chad,18455316.0,19319064.0,+4.68%,Africa,Middle Africa
Romania,19166772.0,19118479.0,−0.25%,Europe,Eastern Europe
Somalia[h],17801897.0,18358615.0,+3.13%,Africa,Eastern Africa
Guatemala,17847877.0,18124838.0,+1.55%,Americas,Central America
Senegal,17651103.0,18077573.0,+2.42%,Africa,Western Africa
Netherlands[i],17904421.0,18092524.0,+1.05%,Europe,Western Europe
Ecuador,17823897.0,17980083.0,+0.88%,Americas,South America
Cambodia,17201724.0,17423880.0,+1.29%,Asia,South-eastern Asia
Zimbabwe,16069056.0,16340822.0,+1.69%,Africa,Eastern Africa
Guinea,14055137.0,14405465.0,+2.49%,Africa,Western Africa
Benin,13759501.0,14111034.0,+2.55%,Africa,Western Africa
Rwanda,13651030.0,13954471.0,+2.22%,Africa,Eastern Africa
Burundi,13321097.0,13689450.0,+2.77%,Africa,Eastern Africa
Bolivia,12077154.0,12244159.0,+1.38%,Americas,South America
Tunisia,12119334.0,12200431.0,+0.67%,Africa,Northern Africa
Belgium,11641820.0,11712893.0,+0.61%,Europe,Western Europe
Haiti,11503606.0,11637398.0,+1.16%,Americas,Caribbean
South Sudan,11021177.0,11483374.0,+4.19%,Africa,Eastern Africa
Jordan,11256263.0,11439213.0,+1.63%,Asia,Western Asia
Dominican Republic,11230734.0,11331265.0,+0.90%,Americas,Caribbean
Cuba,11059820.0,11019931.0,−0.36%,Americas,Caribbean
Czechia,10673213.0,10809716.0,+1.28%,Europe,Eastern Europe
Honduras,10463872.0,10644851.0,+1.73%,Americas,Central America
United Arab Emirates,10242086.0,10642081.0,+3.91%,Asia,Western Asia
Sweden,10487338.0,10551494.0,+0.61%,Europe,Northern Europe
Portugal[j],10417073.0,10430738.0,+0.13%,Europe,Southern Europe
Tajikistan,10182222.0,10389799.0,+2.04%,Asia,Central Asia
Papua New Guinea,10203169.0,10389635.0,+1.83%,Oceania,Melanesia
Azerbaijan,10295304.0,10318207.0,+0.22%,Asia,Western Asia
Greece,10412480.0,10242908.0,−1.63%,Europe,Southern Europe
Hungary,9964306.0,9686463.0,−2.79%,Europe,Eastern Europe
Togo,9089738.0,9304337.0,+2.36%,Africa,Western Africa
Israel,9103151.0,9256314.0,+1.68%,Asia,Western Asia
Austria,9064677.0,9130429.0,+0.73%,Europe,Western Europe
Belarus,9173237.0,9115680.0,−0.63%,Europe,Eastern Europe
Switzerland,8792182.0,8870561.0,+0.89%,Europe,Western Europe
Sierra Leone,8276807.0,8460512.0,+2.22%,Africa,Western Africa
Laos,7559007.0,7664993.0,+1.40%,Asia,South-eastern Asia
Hong Kong (China)[k],7465915.0,7442734.0,−0.31%,Asia,Eastern Asia
Turkmenistan,7230193.0,7364438.0,+1.86%,Asia,Central Asia
Libya,7223805.0,7305659.0,+1.13%,Africa,Northern Africa
Kyrgyzstan,6955788.0,7073516.0,+1.69%,Asia,Central Asia
Paraguay,6760464.0,6844146.0,+1.24%,Americas,South America
Nicaragua,6730654.0,6823613.0,+1.38%,Americas,Central America
Bulgaria,6825864.0,6795803.0,−0.44%,Europe,Eastern Europe
Serbia[l],6791213.0,6773201.0,−0.27%,Europe,Southern Europe
El Salvador,6280319.0,6309624.0,+0.47%,Americas,Central America
Congo,6035104.0,6182885.0,+2.45%,Africa,Middle Africa
